Issue,Description,text
Problems with syncing data between devices,"Customer is experiencing issues with syncing data between their Apple devices. They own an iPhone 12 Pro purchased in June 2023, an iPad Air 4 purchased in December 2022, and a MacBook Pro 16-inch purchased in September 2021. They are located in New York City and use Spectrum as their internet provider.","###Human:
generate a detailed description prompt for Problems with syncing data between devices

###Assistant:
Customer is experiencing issues with syncing data between their Apple devices. They own an iPhone 12 Pro purchased in June 2023, an iPad Air 4 purchased in December 2022, and a MacBook Pro 16-inch purchased in September 2021. They are located in New York City and use Spectrum as their internet provider."
Battery draining quickly on iPhone,Customer reports that their iPhone 13 purchased in November 2023 is experiencing rapid battery drain. They live in Los Angeles and are connected to the internet via AT&T.,"###Human:
generate a detailed description prompt for Battery draining quickly on iPhone

###Assistant:
Customer reports that their iPhone 13 purchased in November 2023 is experiencing rapid battery drain. They live in Los Angeles and are connected to the internet via AT&T."
MacBook keyboard keys sticking,Customer's MacBook Air M1 purchased in August 2022 is facing issues with keyboard keys sticking intermittently. They reside in Chicago and have Xfinity as their internet provider.,"###Human:
generate a detailed description prompt for MacBook keyboard keys sticking

###Assistant:
Customer's MacBook Air M1 purchased in August 2022 is facing issues with keyboard keys sticking intermittently. They reside in Chicago and have Xfinity as their internet provider."
Unable to download apps from the App Store,Customer's iPhone SE 2nd Gen purchased in January 2022 is unable to download apps from the App Store. They live in Houston and are connected to the internet via Verizon.,"###Human:
generate a detailed description prompt for Unable to download apps from the App Store

###Assistant:
Customer's iPhone SE 2nd Gen purchased in January 2022 is unable to download apps from the App Store. They live in Houston and are connected to the internet via Verizon."
Apple Watch not tracking fitness activities accurately,Customer's Apple Watch Series 7 purchased in October 2023 is not accurately tracking fitness activities. They are located in Miami and use Cox Communications as their internet provider.,"###Human:
generate a detailed description prompt for Apple Watch not tracking fitness activities accurately

###Assistant:
Customer's Apple Watch Series 7 purchased in October 2023 is not accurately tracking fitness activities. They are located in Miami and use Cox Communications as their internet provider."
iCloud backup not completing on iPad,Customer's iPad Mini 6th Gen purchased in April 2023 is unable to complete iCloud backups. They reside in San Francisco and have Google Fiber as their internet provider.,"###Human:
generate a detailed description prompt for iCloud backup not completing on iPad

###Assistant:
Customer's iPad Mini 6th Gen purchased in April 2023 is unable to complete iCloud backups. They reside in San Francisco and have Google Fiber as their internet provider."
Unable to stream content on Apple TV,Customer is unable to stream content on their Apple TV 4K purchased in July 2022. They live in Seattle and are connected to the internet via CenturyLink.,"###Human:
generate a detailed description prompt for Unable to stream content on Apple TV

###Assistant:
Customer is unable to stream content on their Apple TV 4K purchased in July 2022. They live in Seattle and are connected to the internet via CenturyLink."
iPhone screen not responding to touch,Customer's iPhone screen becomes unresponsive to touch input. They reside in Boston and have Comcast as their internet provider.,"###Human:
generate a detailed description prompt for iPhone screen not responding to touch

###Assistant:
Customer's iPhone screen becomes unresponsive to touch input. They reside in Boston and have Comcast as their internet provider."
MacBook Pro overheating,Customer's MacBook Pro 13-inch purchased in March 2022 is overheating frequently. They live in Austin and are connected to the internet via Spectrum.,"###Human:
generate a detailed description prompt for MacBook Pro overheating

###Assistant:
Customer's MacBook Pro 13-inch purchased in March 2022 is overheating frequently. They live in Austin and are connected to the internet via Spectrum."
iPad apps crashing frequently,Customer's iPad Pro 11-inch purchased in September 2021 is facing frequent app crashes. They are located in Denver and use AT&T as their internet provider.,"###Human:
generate a detailed description prompt for iPad apps crashing frequently

###Assistant:
Customer's iPad Pro 11-inch purchased in September 2021 is facing frequent app crashes. They are located in Denver and use AT&T as their internet provider."
